document_type,customer_qty,document_qty,document_affiliate,customers
كمبيالة,3,6,6,400156 - 400162 - 400168 -
كمبيالة,5,3,4,400190 - 400178 - 400217 - 400233 - 400231 -
كمبيالة,5,3,3,400199 - 400216 - 400179 - 400173 - 400165 -
كمبيالة,6,3,3,400169 - 400170 - 400171 - 400175 - 400531 - 400174 -
كمبيالة,5,3,3,400158 - 400151 - 400153 - 400160 - 400155 -
كمبيالة,5,5,5,400161 - 400164 - 400167 - 400157 - 400166 -
كمبيالة,5,2,3,400181 - 400185 - 400220 - 400214 - 400206 -
كمبيالة,5,6,6,400134 - 400136 - 400138 - 400141 - 400143 -
كمبيالة,4,6,6,400145 - 400146 - 400147 - 400148 -
كمبيالة,2,2,3,400130 - 400183 -
كمبيالة,3,6,6,400212 - 400223 - 400142 -
كمبيالة,3,6,2,400268 - 400125 - 400121 -
كمبيالة,3,7,7,400159 - 400163 - 400137 -
كمبيالة,5,6,5,400120 - 400126 - 400129 - 400139 - 400132 -
كمبيالة,2,5,5,400149 - 400154 -
كمبيالة,3,3,3,400140 - 400144 - 400152 -
كمبيالة,3,3,3,400107 - 400111 - 400123 -
كمبيالة,3,5,6,400131 - 400135 - 400131 -
كمبيالة,3,6,6,400116 - 400118 - 400122 -
كمبيالة,3,4,4,400110 - 400113 - 400115 -
كمبيالة,3,6,6,400117 - 400119 - 400150 -
كمبيالة,3,4,4,400290 - 400272 - 400127 -
كمبيالة,3,4,4,400112 - 400114 - 400109 -
كمبيالة,3,3,3,400089 - 400093 - 400095 -
كمبيالة,3,6,6,400101 - 400098 - 400099 -
كمبيالة,3,3,4,400931 - 400927 - 400930 -
كمبيالة,3,6,6,400106 - 400105 - 400106 -
كمبيالة,3,4,4,400094 - 400097 - 400102 -
كمبيالة,3,1,1,400090 - 400085 - 400091 -
كمبيالة,3,4,5,400086 - 400084 - 400087 -
كمبيالة,3,5,6,400079 - 400081 - 400083 -
كمبيالة,3,5,6,400077 - 400078 - 400075 -
كمبيالة,3,2,2,400108 - 400100 - 400103 -
كمبيالة,3,2,2,400096 - 400092 - 400062 -
كمبيالة,3,4,4,400317 - 400382 - 400277 -
كمبيالة,3,2,2,400071 - 400072 - 400074 -
كمبيالة,3,6,6,400259 - 400287 - 400910 -
كمبيالة,3,2,2,400065 - 400063 - 400067 -
كمبيالة,3,6,1,400082 - 400076 - 400080 -
كمبيالة,2,5,5,400073 - 400068 -
كمبيالة,3,1,2,400064 - 400066 - 400088 -
كمبيالة,3,1,2,400061 - 400059 - 400060 -
كمبيالة,2,4,5,400057 - 400058 -
كمبيالة,5,6,5,400056 - 400052 - 400053 - 400055 - 400054 -
كمبيالة,3,5,5,400050 - 400049 - 400051 -
كمبيالة,3,6,6,400048 - 400046 - 400047 -
كمبيالة,3,6,6,400044 - 400045 - 400043 -
كمبيالة,3,6,6,400040 - 400041 - 400042 -
كمبيالة,3,4,4,400037 - 400038 - 400039 -
كمبيالة,3,4,4,400034 - 400035 - 400036 -
كمبيالة,3,6,6,400032 - 400033 - 400031 -
كمبيالة,5,6,6,400029 - 400027 - 400028 - 400030 - 400026 -
كمبيالة,3,6,6,400024 - 400023 - 400025 -
كمبيالة,3,2,2,400021 - 400022 - 400020 -
كمبيالة,3,6,6,400019 - 400018 - 400017 -
كمبيالة,3,6,6,400014 - 400016 - 400015 -
كمبيالة,3,6,5,400012 - 400011 - 400013 -
كمبيالة,3,5,5,400010 - 400009 - 400008 -
كمبيالة,2,2,2,400007 - 400006 -
كمبيالة,2,4,4,400004 - 400005 -
كمبيالة,3,6,6,400003 - 400001 - 400002 -
